path,class_folder,raw_class_folder,width,height,size_bytes,mean_intensity,ink_ratio,n_ink_components,reasons
161/bc_004tg_5_23.jpg,161,161,24,30,874,82.28333333333333,0.6777777777777778,1,mean_intensity(z=-4.6)
161/bc_004tg_5_36.jpg,161,161,24,30,925,89.6375,0.6486111111111111,1,mean_intensity(z=-4.1)
161/bc_005tg_4_447.jpg,161,161,19,26,973,134.17206477732793,0.4736842105263157,2,possible_contamination(components=2)
161/bc_015sg_5_0.jpg,161,161,15,18,638,96.38888888888889,0.6222222222222222,1,mean_intensity(z=-3.6)
161/bc_015tg_5_0.jpg,161,161,21,28,1013,93.80102040816328,0.6326530612244898,1,mean_intensity(z=-3.8)
161/bc_020sg_4_454.jpg,161,161,8,16,465,139.4453125,0.453125,1,aspect_ratio(z=-4.1)
161/bc_020sg_4_464.jpg,161,161,13,16,618,146.96153846153845,0.4230769230769231,2,possible_contamination(components=2)
161/bc_020sg_4_92.jpg,161,161,10,16,594,157.59375,0.38125,2,possible_contamination(components=2)
161/bc_020tg_4_121.jpg,161,161,14,24,696,167.59821428571428,0.3422619047619047,2,possible_contamination(components=2)
161/bc_020tg_4_146.jpg,161,161,20,25,838,157.644,0.382,2,possible_contamination(components=2)
161/bc_020tg_4_301.jpg,161,161,20,25,781,161.732,0.366,2,possible_contamination(components=2)
161/bc_020tg_4_42.jpg,161,161,21,27,1084,112.01234567901234,0.5608465608465608,2,possible_contamination(components=2)
161/be_005sg_3_120.jpg,161,161,9,18,502,141.69135802469137,0.4444444444444444,1,aspect_ratio(z=-4.1)
161/be_005sg_4_245.jpg,161,161,9,19,524,143.08187134502924,0.4385964912280701,1,aspect_ratio(z=-4.5)
161/be_002sg_7_43.jpg,161,161,9,18,532,135.27777777777777,0.4691358024691358,1,aspect_ratio(z=-4.1)
161/be_002tg_10_35.jpg,161,161,13,27,693,148.9031339031339,0.4159544159544159,1,aspect_ratio(z=-4.4)
161/be_002tg_7_131.jpg,161,161,13,28,878,151.87362637362637,0.4038461538461538,1,aspect_ratio(z=-4.6)
161/be_002tg_7_43.jpg,161,161,11,27,758,140.78787878787878,0.4478114478114478,1,aspect_ratio(z=-5.5)
161/bc_019sg_8_1.jpg,161,161,14,19,691,91.24436090225564,0.6428571428571429,1,mean_intensity(z=-4.0)
161/bc_019sg_7_25.jpg,161,161,14,19,660,89.2406015037594,0.650375939849624,1,mean_intensity(z=-4.1)
161/bc_019sg_6_0.jpg,161,161,14,19,642,82.55639097744361,0.6766917293233082,1,mean_intensity(z=-4.6)
161/bc_017tg_4_8.jpg,161,161,24,32,1104,85.26692708333333,0.6666666666666666,1,mean_intensity(z=-4.4)
161/bc_017sg_4_0.jpg,161,161,16,21,713,83.73214285714286,0.6726190476190477,1,mean_intensity(z=-4.5)
