path,class_folder,file_name,size_bytes,readable,error,width,height,mode,channels,aspect_ratio,mean_intensity,std_intensity,min_intensity,max_intensity,ink_ratio,n_ink_components,sha256,phash,sha_group_id,sha_group_size,is_sha_canonical,sha_group_spans_classes,near_dup_group_id,near_dup_group_size,near_dup_group_spans_classes
161/bc_001sg_3_118.jpg,161,bc_001sg_3_118.jpg,610,True,,12,18,L,1,0.6667,125.1898,127.1251,0,255,0.5093,1,b1d5e230008bdf39acc9f4465d6e939e4162907196f0db19e6d5721eb2bfd179,de212127f7f4f090,41830,1,True,False,41830,1,False
161/bc_001sg_3_140.jpg,161,bc_001sg_3_140.jpg,696,True,,12,18,L,1,0.6667,135.6481,126.6268,0,255,0.4676,1,5029ad3dc2a3d8fa5844de749615d8ddad9cd8591b7e35a4ace539980f730153,de21a327e4f4b431,18783,1,True,False,18783,1,False
161/bc_001sg_3_142.jpg,161,bc_001sg_3_142.jpg,730,True,,12,18,L,1,0.6667,127.5046,126.8242,0,255,0.5,1,cb1d4afcfd8916dc7c70f0f5a2a51ad32981775c491efd9d9e780571967acfe6,de202135b675f43c,47751,1,True,False,47751,1,False
161/bc_001sg_3_32.jpg,161,bc_001sg_3_32.jpg,739,True,,13,18,L,1,0.7222,132.9188,126.6757,0,255,0.4786,1,9d39b325d5f1301421f01e5d2097ebeeb9edd69b7193ee4487089c63ac13dd0e,de2121e4e671b2d3,36890,1,True,False,36890,1,False
161/bc_001sg_3_42.jpg,161,bc_001sg_3_42.jpg,644,True,,13,17,L,1,0.7647,130.3937,126.8199,0,255,0.4887,1,9f5c01353e356c13ab6b0261b287987cd82efc3c3c0fb9b72d2b83ffaf43e1e5,da202525f5f57c70,37400,1,True,False,37400,1,False
161/bc_001sg_3_96.jpg,161,bc_001sg_3_96.jpg,695,True,,12,18,L,1,0.6667,133.3102,126.8149,0,255,0.4769,1,070d9711b5585d84c737de6e17936b0b67965cecb350cf2cfd2b8081a345ab7c,de21a127e575f031,1643,1,True,False,1643,1,False
161/bc_001sg_8_0.jpg,161,bc_001sg_8_0.jpg,688,True,,13,18,L,1,0.7222,127.5427,127.0077,0,255,0.5,1,3748c87325a07097617ad65b6eea26640d6e16b5e34f1ecfe33357b4f6d90714,de232325a4f1f2d1,12983,1,True,False,12983,1,False
161/bc_001sg_8_21.jpg,161,bc_001sg_8_21.jpg,646,True,,13,17,L,1,0.7647,130.3439,126.8703,0,255,0.4887,1,cdcc83b070e53e3548692be1203d4d8fdd1c01551806370c66f6c2374353dc9b,da232565a475f471,48395,1,True,False,48395,1,False
161/bc_001sg_9_129.jpg,161,bc_001sg_9_129.jpg,648,True,,12,18,L,1,0.6667,127.4954,127.0545,0,255,0.5,1,0ff9c0a2236e683f7b94c20a06eb297cc20858d2b339201adecca8fbbc5e6a96,de21a125f475f074,3732,1,True,False,3732,1,False
161/bc_001sg_9_184.jpg,161,bc_001sg_9_184.jpg,569,True,,12,17,L,1,0.7059,126.3137,127.1002,0,255,0.5049,1,9206b5d0f43026e385afc3ffc5185deffe083d3ed0fa9a51cddb0f6543e3c0b0,de2021a7f5f1f0b0,34305,1,True,False,34305,1,False
161/bc_001sg_9_217.jpg,161,bc_001sg_9_217.jpg,602,True,,12,17,L,1,0.7059,132.4461,126.8149,0,255,0.4804,1,7b55a364902bd26d019d89b82f9423ad71bff452889e03f7f68fdd00807237c0,de212127a475bc75,28990,1,True,False,28990,1,False
161/bc_001sg_9_304.jpg,161,bc_001sg_9_304.jpg,565,True,,12,17,L,1,0.7059,126.3971,127.0482,0,255,0.5049,1,d429079cd1f3e2ac771944e52bca31dc623345fed5ce4559097aa9979894e91f,de212125ad3cfc74,49895,1,True,False,49895,1,False
161/bc_001sg_9_326.jpg,161,bc_001sg_9_326.jpg,650,True,,12,18,L,1,0.6667,125.2361,127.1075,0,255,0.5093,1,f154a6404c6de7e408f3c1b1d0133efb50fa8a266bc0b9a28dfb282ec001e83c,de212125e7f4f0f0,56732,1,True,False,56732,1,False
161/bc_001sg_9_365.jpg,161,bc_001sg_9_365.jpg,562,True,,12,17,L,1,0.7059,122.5539,127.0681,0,255,0.5196,1,b97e98438b583e685ba1ef9d5abd5db1ee6bcd5cf20b134df35c346bf6c5abf9,de212125b5f4f4f0,43611,1,True,False,43611,1,False
161/bc_001sg_9_373.jpg,161,bc_001sg_9_373.jpg,681,True,,13,18,L,1,0.7222,131.8846,126.8724,0,255,0.4829,1,d5498d2e28e21a9a2b3afebed05702d8a9f173cf0026b22f07dafe5a620e5d1d,de2321a1e5f1d2d1,50152,1,True,False,50152,1,False
161/bc_001sg_9_387.jpg,161,bc_001sg_9_387.jpg,649,True,,12,18,L,1,0.6667,133.4352,126.9158,0,255,0.4769,1,1d019571020170368258b5148d72343c79e7f6441a9e099bdd61a5415f6e903b,de21a127e4f4f035,6844,1,True,False,6844,1,False
161/bc_001sg_9_390.jpg,161,bc_001sg_9_390.jpg,749,True,,13,18,L,1,0.7222,143.6966,125.7269,0,255,0.4359,1,7212dd88c783e64889f86385b7596a7bfb21ebc23d6e735b04bc26b1dcafa2a1,da2121a5f475b2d9,26768,1,True,False,26768,1,False
161/bc_001sg_9_404.jpg,161,bc_001sg_9_404.jpg,565,True,,12,17,L,1,0.7059,121.3333,126.9658,0,255,0.5245,1,a547cb7421c4442ae6060437b457276f738a33fc57492966c5db983ce31af103,de2121272dfc7c34,38781,1,True,False,38781,1,False
161/bc_001sg_9_54.jpg,161,bc_001sg_9_54.jpg,604,True,,12,17,L,1,0.7059,146.2402,125.4659,0,255,0.4265,1,a4248879cc54a7c2d66f31e436e580546a28deafb016864d795b159eeddd9de6,de2b2965e4e4b0b1,38515,1,True,False,38515,1,False
161/bc_001sg_9_73.jpg,161,bc_001sg_9_73.jpg,699,True,,12,18,L,1,0.6667,137.0046,126.6522,0,255,0.463,1,66ea0266be08e66c9808af30993657f555f09f9984d7439ecb0db936d5bc35bc,9e21a135f1b5f292,24092,1,True,False,24092,1,False
161/bc_001sg_9_85.jpg,161,bc_001sg_9_85.jpg,610,True,,13,17,L,1,0.7647,129.2896,126.9978,0,255,0.4932,1,6ba081c508b4f3053931362c16d0f0bb076f06dfdf1d61b605a0ad4e6a897e05,de256169a275f4b0,25232,1,True,False,25232,1,False
161/bc_001tg_7_0.jpg,161,bc_001tg_7_0.jpg,870,True,,19,26,L,1,0.7308,127.9798,126.9765,0,255,0.498,1,06d9b918e186e50f55c829ce9dd677c2eeda8a812a0c418162e08c3808df094a,de212365e4f4f0d1,1584,1,True,False,1584,1,False
161/bc_001tg_7_18.jpg,161,bc_001tg_7_18.jpg,859,True,,18,26,L,1,0.6923,137.3184,126.7577,0,255,0.4615,1,0b220ca95cbd176a91e27062e0dad9b645485239d6b82a66fcef0795a85a5c1c,de212127a4f4f4f4,2592,1,True,False,2592,1,False
161/bc_001tg_8_140.jpg,161,bc_001tg_8_140.jpg,968,True,,19,26,L,1,0.7308,139.3077,126.4635,0,255,0.4534,1,d1ba71608d5ac377c347b8e3c3c03b8156e51757ac30fa9aae1982a6099a3012,de212527a574f474,49327,1,True,False,49327,1,False
161/bc_001tg_8_196.jpg,161,bc_001tg_8_196.jpg,829,True,,18,26,L,1,0.6923,139.4038,126.43,0,255,0.453,1,9aad92b43b1e448af6488a93a7cb8940bba3f51aaa93ad460dcdd59314b62aa2,de212127e4f4f4f0,36286,1,True,False,36286,1,False
161/bc_001tg_8_229.jpg,161,bc_001tg_8_229.jpg,759,True,,18,25,L,1,0.72,138.1933,126.6592,0,255,0.4578,1,a952cfa4ad27f5213eb89f3e237edfbc1e8919ddd68d074e79de324fcb942885,de2121252d75f4f4,39784,1,True,False,39784,1,False
161/bc_001tg_8_323.jpg,161,bc_001tg_8_323.jpg,699,True,,18,25,L,1,0.72,136.54,126.773,0,255,0.4644,1,04f53c12b01e03f779bc2d18088472148f0b5c47732eae7f0c9eb44419bf57c2,de212125a5f4f4f4,1145,1,True,False,1145,1,False
161/bc_001tg_8_345.jpg,161,bc_001tg_8_345.jpg,942,True,,18,27,L,1,0.6667,132.1276,126.7781,0,255,0.4815,1,53bbf569063de9776e497c54214cc94d1eda616f6b2587eef4e6638fbf186669,de20a165b5f4f4d0,19705,1,True,False,19705,1,False
161/bc_001tg_8_385.jpg,161,bc_001tg_8_385.jpg,1016,True,,18,26,L,1,0.6923,132.9359,126.9337,0,255,0.4786,1,3fb73258a305fe6efa59bca7275b1571e62a4bb0e92277cfe6771708c0f24533,de212521e575f474,15002,1,True,False,15002,1,False
