sha_group_id,sha256,path,class_folder,sha_group_size,classes_in_group
8359,239bab055fa52ad92588dcb269a3d39911c11e09f1f16c75cf3d6e20ac768f02,168/bc_008tg_11_31.jpg,168,2,"168,210"
8359,239bab055fa52ad92588dcb269a3d39911c11e09f1f16c75cf3d6e20ac768f02,210/Copy of bc_008tg_11_31.jpg,210,2,"168,210"
11805,32796cac7f632867804ac7ae73d1e45ffc0cee7ed18a791f0170fd8951bcd8d5,210/ce_001sg_2_12.jpg,210,2,"210,229"
11805,32796cac7f632867804ac7ae73d1e45ffc0cee7ed18a791f0170fd8951bcd8d5,229/ce_001sg_2_12.jpg,229,2,"210,229"
21076,59e9f742ec0012069038a3451a917e5e8600f0700a94f5898068f749910bd581,168/bc_008tg_11_168.jpg,168,2,"168,210"
21076,59e9f742ec0012069038a3451a917e5e8600f0700a94f5898068f749910bd581,210/Copy of bc_008tg_11_168.jpg,210,2,"168,210"
30394,81728fb50b27d3184b43bdcaa3885eb1166135d9b18cab9407f9c4f856ef32b7,199/be_006sg_1_311.jpg,199,3,"199,210"
30394,81728fb50b27d3184b43bdcaa3885eb1166135d9b18cab9407f9c4f856ef32b7,210/be_003sg_4_167.jpg,210,3,"199,210"
30394,81728fb50b27d3184b43bdcaa3885eb1166135d9b18cab9407f9c4f856ef32b7,210/be_020sg_2_453.jpg,210,3,"199,210"
30588,825d5b375ee70603e7303150e0b6f17a722846fb925b4e56db92871b6dd2442b,168/bc_008tg_8_312.jpg,168,2,"168,210"
30588,825d5b375ee70603e7303150e0b6f17a722846fb925b4e56db92871b6dd2442b,210/Copy of bc_008tg_8_312.jpg,210,2,"168,210"
31007,8428a951388f18fe1af525c24d57750cef055e6a5cade48dbc413b54306edf0a,193/be_002sg_9_351.jpg,193,2,"193,209"
31007,8428a951388f18fe1af525c24d57750cef055e6a5cade48dbc413b54306edf0a,209/be_016sg_8_144.jpg,209,2,"193,209"
37110,9e3be226325c2d22cb9eb0c9b99071fa7f78b5f2fdf99bf8af922aa1516817b0,185/be_019sg_8_93.jpg,185,2,"185,186"
37110,9e3be226325c2d22cb9eb0c9b99071fa7f78b5f2fdf99bf8af922aa1516817b0,186/be_013sg_2_68.jpg,186,2,"185,186"
49065,d098bb453ebbaddc8a70f1222d3a4d6f4bd6866202d47fc1dd9f680f82458c62,164/bc_012sg_2_59.jpg,164,2,"164,181"
49065,d098bb453ebbaddc8a70f1222d3a4d6f4bd6866202d47fc1dd9f680f82458c62,181/bc_009sg_2_196.jpg,181,2,"164,181"
52729,e07a1da4a77bb77bd9d83ec1518c413da0c5ea93b0c6accbdfc95d3b390cb4a3,168/bc_008tg_11_118.jpg,168,2,"168,210"
52729,e07a1da4a77bb77bd9d83ec1518c413da0c5ea93b0c6accbdfc95d3b390cb4a3,210/Copy of bc_008tg_11_118.jpg,210,2,"168,210"
58191,f775dd1055788b1a76e7bfc4ddacb3790dc1548ac677d23ec5bb21dbd4d29a07,168/bc_008tg_11_3.jpg,168,2,"168,210"
58191,f775dd1055788b1a76e7bfc4ddacb3790dc1548ac677d23ec5bb21dbd4d29a07,210/Copy of bc_008tg_11_3.jpg,210,2,"168,210"
59099,fb771f655aaa5804d3baf6a9c91fd9510fc8829e01bf17d9039ee6a85fe28205,210/ce_001sg_2_8.jpg,210,2,"210,229"
59099,fb771f655aaa5804d3baf6a9c91fd9510fc8829e01bf17d9039ee6a85fe28205,229/ce_001sg_2_8.jpg,229,2,"210,229"
