id,path,folder_class,reviewer,verdict,proposed_class,note,created_at
1,162/bc_019sg_6_5.jpg,162,san,flag,,,2026-09-24T04:52:33+00:00
2,162/bc_019sg_6_5.jpg,162,san,clear,,,2026-09-24T04:53:43+00:00
3,162/bc_020tg_4_303.jpg,162,san,flag,,,2026-09-24T04:53:46+00:00
4,161/be_006sg_4_219.jpg,161,san,flag,,,2026-09-24T04:54:34+00:00
5,161/be_006sg_4_219.jpg,161,san,clear,,,2026-09-24T04:55:02+00:00
6,162/be_008sg_5_18.jpg,162,san,wrong_class,209.0,,2026-09-24T05:14:10+00:00
7,162/be_014sg_4_304.jpg,162,san,wrong_class,209.0,,2026-09-24T05:14:20+00:00
8,167/bc_020sg_3_174.jpg,167,san,flag,,,2026-09-24T05:15:51+00:00
9,167/bc_020sg_3_174.jpg,167,san,clear,,,2026-09-24T05:15:52+00:00
10,167/bc_020sg_3_174.jpg,167,san,flag,,,2026-09-24T05:16:00+00:00
11,167/bc_020sg_3_174.jpg,167,san,clear,,,2026-09-24T05:16:08+00:00
12,210/Copy of bc_008tg_8_312.jpg,210,san,wrong_class,168.0,,2026-09-24T05:16:44+00:00
13,210/be_002tg_7_344.jpg,210,san,wrong_class,195.0,,2026-09-24T05:16:53+00:00
14,210/bc_020tg_3_117.jpg,210,san,wrong_class,168.0,,2026-09-24T05:17:06+00:00
15,210/bc_020tg_3_150.jpg,210,san,wrong_class,199.0,,2026-09-24T05:17:40+00:00
16,210/Copy of bc_008tg_11_3.jpg,210,san,wrong_class,168.0,,2026-09-24T05:22:32+00:00
17,210/Copy of bc_008tg_11_118.jpg,210,san,wrong_class,168.0,,2026-09-24T05:51:15+00:00
18,210/bc_020sg_4_85.jpg,210,san,wrong_class,199.0,,2026-09-24T05:51:19+00:00
19,210/Copy of bc_008tg_11_31.jpg,210,san,wrong_class,168.0,,2026-09-24T05:51:24+00:00
20,210/be_018sg_7_313.jpg,210,san,drop,,,2026-09-24T05:51:39+00:00
21,210/be_016tg_8_136.jpg,210,san,wrong_class,230.0,,2026-09-24T05:51:53+00:00
22,210/be_018sg_4_3.jpg,210,san,wrong_class,228.0,,2026-09-24T05:51:59+00:00
23,210/bc_020tg_2_21.jpg,210,san,wrong_class,216.0,,2026-09-24T05:52:03+00:00
24,210/bc_020tg_3_138.jpg,210,san,wrong_class,199.0,,2026-09-24T05:52:07+00:00
25,210/be_016sg_9_298.jpg,210,san,wrong_class,197.0,,2026-09-24T05:52:12+00:00
26,210/bc_020sg_7_50.jpg,210,san,wrong_class,195.0,,2026-09-24T05:52:18+00:00
27,210/Copy of bc_008tg_11_168.jpg,210,san,wrong_class,168.0,,2026-09-24T05:52:22+00:00
28,210/bc_020tg_3_447.jpg,210,san,wrong_class,199.0,,2026-09-24T05:52:27+00:00
29,210/be_016sg_2_6.jpg,210,san,wrong_class,227.0,,2026-09-24T05:52:32+00:00
30,210/bc_020tg_3_131.jpg,210,san,wrong_class,199.0,,2026-09-24T05:54:05+00:00
31,210/bc_020tg_3_324.jpg,210,san,wrong_class,199.0,,2026-09-24T05:54:16+00:00
32,210/be_018tg_7_115.jpg,210,san,wrong_class,199.0,,2026-09-24T05:54:21+00:00
33,210/be_002tg_10_78.jpg,210,san,wrong_class,228.0,,2026-09-24T05:54:24+00:00
34,210/be_018tg_6_395.jpg,210,san,wrong_class,227.0,,2026-09-24T05:54:28+00:00
35,210/be_018sg_4_29.jpg,210,san,wrong_class,227.0,,2026-09-24T05:54:45+00:00
36,210/be_013sg_1_422.jpg,210,san,wrong_class,227.0,,2026-09-24T05:54:48+00:00
37,210/be_016sg_10_189.jpg,210,san,wrong_class,227.0,,2026-09-24T05:54:56+00:00
38,161/bc_020sg_3_480.jpg,161,riri,flag,,,2026-09-24T07:35:16+00:00
39,180/bc_020tg_3_428.jpg,180,san,wrong_class,164.0,,2026-09-24T07:39:08+00:00
40,229/ce_001sg_2_12.jpg,229,งงอะ,flag,,,2026-09-24T07:39:25+00:00
41,180/bc_020tg_3_428.jpg,180,san,flag,,,2026-09-24T07:39:27+00:00
42,180/bc_020tg_3_428.jpg,180,san,clear,,,2026-09-24T07:39:30+00:00
43,229/be_002sg_9_357.jpg,229,งงอะ,flag,,,2026-09-24T07:39:30+00:00
44,229/ce_001sg_2_12.jpg,229,งงอะ,clear,,,2026-09-24T07:39:36+00:00
45,229/ce_001sg_2_12.jpg,229,งงอะ,flag,,,2026-09-24T07:39:36+00:00
46,229/be_002sg_9_357.jpg,229,งงอะ,clear,,,2026-09-24T07:39:38+00:00
47,229/ce_001sg_2_12.jpg,229,งงอะ,clear,,,2026-09-24T07:39:41+00:00
48,180/bc_007sg_3_179.jpg,180,san,wrong_class,164.0,,2026-09-24T07:39:44+00:00
49,229/be_002sg_9_357.jpg,229,งงอะ,flag,,,2026-09-24T07:39:44+00:00
50,210/Copy of bc_008tg_8_312.jpg,210,งเาะ,wrong_class,168.0,,2026-09-24T07:42:11+00:00
51,161/bc_020sg_3_334.jpg,161,riri,wrong_class,205.0,,2026-09-24T07:42:16+00:00
52,161/bc_020sg_3_480.jpg,161,riri,wrong_class,164.0,,2026-09-24T07:42:29+00:00
53,161/bc_020sg_3_334.jpg,161,riri,wrong_class,205.0,,2026-09-24T07:43:25+00:00
54,161/bc_020tg_4_45.jpg,161,riri,unsure,,,2026-09-24T07:43:43+00:00
55,210/be_002tg_7_344.jpg,210,งเาะ,wrong_class,195.0,,2026-09-24T07:43:43+00:00
56,161/be_006sg_1_453.jpg,161,riri,wrong_class,192.0,,2026-09-24T07:44:00+00:00
57,210/bc_020tg_3_117.jpg,210,งเาะ,wrong_class,168.0,,2026-09-24T07:44:11+00:00
58,161/bc_020tg_4_65.jpg,161,riri,unsure,,,2026-09-24T07:44:14+00:00
59,161/bc_020sg_4_395.jpg,161,riri,wrong_class,164.0,,2026-09-24T07:44:36+00:00
60,161/be_006sg_8_257.jpg,161,riri,wrong_class,182.0,,2026-09-24T07:44:48+00:00
61,161/bc_012sg_4_240.jpg,161,riri,wrong_class,164.0,,2026-09-24T07:45:16+00:00
62,162/bc_009sg_1_25.jpg,162,san,wrong_class,170.0,,2026-09-24T07:45:24+00:00
63,229/be_002sg_9_357.jpg,229,งง,drop,,,2026-09-24T07:45:40+00:00
64,162/be_002sg_10_162.jpg,162,san,wrong_class,209.0,,2026-09-24T07:45:49+00:00
65,210/be_016sg_9_298.jpg,210,งเาะ,wrong_class,197.0,,2026-09-24T07:46:04+00:00
66,162/bc_019sg_6_5.jpg,162,san,wrong_class,186.0,,2026-09-24T07:46:19+00:00
67,161/be_004sg_7_328.jpg,161,riri,wrong_class,192.0,,2026-09-24T07:46:37+00:00
68,162/bc_019sg_6_450.jpg,162,san,wrong_class,170.0,,2026-09-24T07:46:47+00:00
69,161/bc_018tg_3_152.jpg,161,riri,drop,,,2026-09-24T07:47:08+00:00
70,161/bc_008sg_8_56.jpg,161,riri,drop,,,2026-09-24T07:47:24+00:00
71,170/bl_006tg_3_177.jpg,170,san,wrong_class,171.0,,2026-09-24T07:47:46+00:00
72,161/bc_020sg_4_454.jpg,161,riri,unsure,,,2026-09-24T07:48:11+00:00
