path,ruling,correct_class,source,note,decided_at
161/bc_008sg_8_56.jpg,drop,,audit_app,riri: drop,2026-09-24T13:52:57+00:00
161/bc_012sg_4_240.jpg,reassign,164,audit_app,riri: →164,2026-09-24T13:52:57+00:00
161/bc_018tg_3_152.jpg,drop,,audit_app,riri: drop,2026-09-24T13:52:57+00:00
161/bc_020sg_3_334.jpg,reassign,205,audit_app,riri: →205,2026-09-24T13:52:57+00:00
161/bc_020sg_3_480.jpg,reassign,164,audit_app,riri: →164,2026-09-24T13:52:57+00:00
161/bc_020sg_4_395.jpg,reassign,164,audit_app,riri: →164,2026-09-24T13:52:57+00:00
161/be_004sg_7_328.jpg,reassign,192,audit_app,riri: →192,2026-09-24T13:52:57+00:00
161/be_006sg_1_453.jpg,reassign,192,audit_app,riri: →192,2026-09-24T13:52:57+00:00
161/be_006sg_8_257.jpg,reassign,182,audit_app,riri: →182,2026-09-24T13:52:57+00:00
162/bc_009sg_1_25.jpg,reassign,170,audit_app,"riri: →170, san: →170",2026-09-24T13:52:57+00:00
162/bc_018sg_4_66.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
162/bc_019sg_6_450.jpg,reassign,170,audit_app,san: →170,2026-09-24T13:52:57+00:00
162/bc_019sg_6_5.jpg,reassign,186,audit_app,"riri: →186, san: →186",2026-09-24T13:52:57+00:00
162/be_002sg_10_162.jpg,reassign,209,audit_app,"riri: →209, san: →209",2026-09-24T13:52:57+00:00
162/be_008sg_5_18.jpg,reassign,209,audit_app,"riri: →209, san: →209",2026-09-24T13:52:57+00:00
162/be_014sg_4_304.jpg,reassign,209,audit_app,san: →209,2026-09-24T13:52:57+00:00
162/bl_008sg_1_20.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
162/bl_008sg_3_490.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
162/bl_008tg_1_33.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
164/bc_005sg_4_237.jpg,drop,,audit_app,riri: drop,2026-09-24T13:52:57+00:00
164/bc_005sg_7_14.jpg,drop,,audit_app,riri: drop,2026-09-24T13:52:57+00:00
164/bc_005tg_1_9.jpg,drop,,audit_app,riri: drop,2026-09-24T13:52:57+00:00
164/bc_006sg_2_0.jpg,drop,,audit_app,riri: drop,2026-09-24T13:52:57+00:00
164/bc_007sg_6_115.jpg,drop,,audit_app,riri: drop,2026-09-24T13:52:57+00:00
164/bc_007sg_8_18.jpg,drop,,audit_app,riri: drop,2026-09-24T13:52:57+00:00
164/bc_007tg_9_9.jpg,reassign,180,audit_app,riri: →180,2026-09-24T13:52:57+00:00
164/bc_008sg_11_240.jpg,reassign,181,audit_app,riri: →181,2026-09-24T13:52:57+00:00
164/bc_014sg_2_26.jpg,reassign,180,audit_app,riri: →180,2026-09-24T13:52:57+00:00
164/bc_014sg_3_469.jpg,reassign,180,audit_app,riri: →180,2026-09-24T13:52:57+00:00
164/bc_015sg_5_265.jpg,reassign,180,audit_app,riri: →180,2026-09-24T13:52:57+00:00
164/bc_015tg_5_259.jpg,reassign,180,audit_app,riri: →180,2026-09-24T13:52:57+00:00
164/bc_018sg_5_39.jpg,reassign,180,audit_app,riri: →180,2026-09-24T13:52:57+00:00
164/bc_018sg_6_17.jpg,drop,,audit_app,riri: drop,2026-09-24T13:52:57+00:00
164/bc_018tg_3_288.jpg,reassign,180,audit_app,riri: →180,2026-09-24T13:52:57+00:00
164/bc_020tg_3_25.jpg,reassign,180,audit_app,riri: →180,2026-09-24T13:52:57+00:00
164/be_017sg_4_421.jpg,reassign,180,audit_app,riri: →180,2026-09-24T13:52:57+00:00
164/be_017sg_7_382.jpg,reassign,205,audit_app,riri: →205,2026-09-24T13:52:57+00:00
164/be_019sg_8_200.jpg,reassign,205,audit_app,riri: →205,2026-09-24T13:52:57+00:00
164/be_020tg_2_287.jpg,reassign,205,audit_app,riri: →205,2026-09-24T13:52:57+00:00
164/bl_003sg_2_5.jpg,reassign,180,audit_app,riri: →180,2026-09-24T13:52:57+00:00
164/bl_009sg_3_121.jpg,reassign,180,audit_app,riri: →180,2026-09-24T13:52:57+00:00
164/bl_009sg_3_314.jpg,reassign,181,audit_app,riri: →181,2026-09-24T13:52:57+00:00
164/bl_011sg_4_130.jpg,reassign,180,audit_app,riri: →180,2026-09-24T13:52:57+00:00
164/bl_011sg_4_486.jpg,reassign,180,audit_app,riri: →180,2026-09-24T13:52:57+00:00
168/bc_019sg_5_93.jpg,reassign,169,audit_app,งง: →169,2026-09-24T13:52:57+00:00
168/bc_020sg_4_13.jpg,reassign,216,audit_app,san: →216,2026-09-24T13:52:57+00:00
168/be_005tg_4_58.jpg,reassign,217,audit_app,งง: →217,2026-09-24T13:52:57+00:00
168/be_011sg_5_54.jpg,reassign,217,audit_app,san: →217,2026-09-24T13:52:57+00:00
168/be_011sg_5_72.jpg,reassign,217,audit_app,งง: →217,2026-09-24T13:52:57+00:00
168/be_013tg_1_140.jpg,reassign,162,audit_app,"san: →162, งง: →162",2026-09-24T13:52:57+00:00
168/be_013tg_1_308.jpg,reassign,162,audit_app,"san: →162, งง: →162",2026-09-24T13:52:57+00:00
168/ce_001sg_2_27.jpg,drop,,audit_app,งง: drop,2026-09-24T13:52:57+00:00
170/bc_008tg_8_265.jpg,reassign,171,audit_app,riri: →171,2026-09-24T13:52:57+00:00
170/bc_014tg_6_267.jpg,reassign,171,audit_app,riri: →171,2026-09-24T13:52:57+00:00
170/bc_016tg_7_133.jpg,reassign,162,audit_app,"riri: →162, งง: →162",2026-09-24T13:52:57+00:00
170/be_006sg_4_84.jpg,reassign,162,audit_app,"riri: →162, งง: →162",2026-09-24T13:52:57+00:00
170/be_008sg_4_95.jpg,reassign,171,audit_app,riri: →171,2026-09-24T13:52:57+00:00
170/be_012sg_3_349.jpg,reassign,171,audit_app,riri: →171,2026-09-24T13:52:57+00:00
170/be_016sg_11_83.jpg,reassign,162,audit_app,"riri: →162, งง: →162",2026-09-24T13:52:57+00:00
170/bl_001sg_8_206.jpg,reassign,162,audit_app,riri: →162,2026-09-24T13:52:57+00:00
170/bl_001sg_8_321.jpg,reassign,162,audit_app,งง: →162,2026-09-24T13:52:57+00:00
170/bl_002sg_10_197.jpg,reassign,162,audit_app,riri: →162,2026-09-24T13:52:57+00:00
170/bl_004tg_5_112.jpg,reassign,171,audit_app,riri: →171,2026-09-24T13:52:57+00:00
170/bl_005tg_9_170.jpg,reassign,171,audit_app,riri: →171,2026-09-24T13:52:57+00:00
170/bl_006sg_8_101.jpg,reassign,171,audit_app,riri: →171,2026-09-24T13:52:57+00:00
170/bl_006tg_3_177.jpg,reassign,171,audit_app,san: →171,2026-09-24T13:52:57+00:00
170/bl_007sg_8_343.jpg,reassign,171,audit_app,riri: →171,2026-09-24T13:52:57+00:00
170/bl_011sg_4_58.jpg,reassign,162,audit_app,riri: →162,2026-09-24T13:52:57+00:00
171/bc_008tg_11_114.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
171/bc_008tg_1_37.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
171/bc_011sg_6_67.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
171/bc_011tg_6_63.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
171/bc_014sg_3_257.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
171/bc_015sg_3_282.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
171/bc_016sg_3_381.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
171/bc_017tg_3_55.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
171/bc_018sg_3_271.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
171/bc_018sg_4_134.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
171/bc_018sg_4_363.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
171/bc_018sg_6_31.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
171/bc_018tg_5_50.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
171/bc_018tg_6_31.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
171/be_006sg_6_17.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
171/be_007sg_3_0.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
171/be_008sg_7_0.jpg,reassign,170,audit_app,riri: →170,2026-09-24T13:52:57+00:00
